entity,name,type,primary_key_type,coding_name,is_sparse_coding,is_multi_select,referenced_entity_field,relationship,folder_path,title,units,description
participant,PID,string,global,,,,,,Our Future Health Participant,PID,,Participant ID
participant,REGISTRATION_YEAR,integer,,,,,,,Our Future Health Participant,REGISTRATION_YEAR,,Year of Registration derived from Date of Registration
participant,REGISTRATION_MONTH,integer,,,,,,,Our Future Health Participant,REGISTRATION_MONTH,,Month of Registration derived from Date of Registration
participant,CONSENT_VERSION,string,,,,,,,Our Future Health Participant,CONSENT_VERSION,,Consent Version
participant,CONSENT_YEAR,integer,,,,,,,Our Future Health Participant,CONSENT_YEAR,,Year of Consent derived from Date of Consent
participant,CONSENT_MONTH,integer,,,,,,,Our Future Health Participant,CONSENT_MONTH,,Month of Consent derived from Date of Consent
participant,BIRTH_YEAR,integer,,BIRTH_YEAR,yes,,,,Our Future Health Participant,BIRTH_YEAR,,Year of Birth derived from Date of Birth
participant,BIRTH_MONTH,integer,,BIRTH_MONTH,yes,,,,Our Future Health Participant,BIRTH_MONTH,,Month of Birth derived from Date of Birth
participant,BLOOD_SAMPLE,integer,,BLOOD_SAMPLE,,,,,Our Future Health Participant,BLOOD_SAMPLE,,"Blood sample obtained with sufficient condition and volume for extraction of buffy coat, DNA and plasma"
participant,DEMOG_ETHNICITY_1_1,integer,,DEMOG_ETHNICITY_1_1,,,,,Our Future Health Participant,DEMOG_ETHNICITY_1_1,,What is your ethnic group? Choose one option that best describes your ethnic group or background
participant,DEMOG_GENDER_1_1,integer,,DEMOG_GENDER_1_1,,,,,Our Future Health Participant,DEMOG_GENDER_1_1,,To which gender identity do you most identify?
participant,DEMOG_GENDER_2_1,integer,,DEMOG_GENDER_2_1,,,,,Our Future Health Participant,DEMOG_GENDER_2_1,,Select the option that best describes your current gender identity
participant,DEMOG_SEX_1_1,integer,,DEMOG_SEX_1_1,,,,,Our Future Health Participant,DEMOG_SEX_1_1,,What sex was assigned to you at birth?
participant,DEMOG_SEX_2_1,integer,,DEMOG_SEX_2_1,,,,,Our Future Health Participant,DEMOG_SEX_2_1,,What sex were you registered with at birth?
questionnaire,ID,string,local,,,,,,Our Future Health Questionnaire > Questionnaire Information,ID,,Unique identifier for questionnaire response
questionnaire,PID,string,,,,,participant:PID,many_to_one,Our Future Health Questionnaire > Questionnaire Information,PID,,Participant identifier
questionnaire,QUESTIONNAIRE_VERSION,string,,,,,,,Our Future Health Questionnaire > Questionnaire Information,QUESTIONNAIRE_VERSION,,Version of questionnaire completed
questionnaire,SUBMISSION_DATE,date,,,,,,,Our Future Health Questionnaire > Questionnaire Information,SUBMISSION_DATE,,Date questionnaire was submitted
questionnaire,DEMOG_HEIGHT_1_1,float,,,,,,,Our Future Health Questionnaire > 1 About you and your household,DEMOG_HEIGHT_1_1,,What is your height?
questionnaire,DEMOG_HEIGHT_ENTER_UNIT_1_1,integer,,DEMOG_HEIGHT_ENTER_UNIT_1_1,,,,,Our Future Health Questionnaire > 1 About you and your household,DEMOG_HEIGHT_ENTER_UNIT_1_1,,How would you prefer to enter your height?
questionnaire,DEMOG_LANGUAGE_1_1,integer,,DEMOG_LANGUAGE_1_1,,,,,Our Future Health Questionnaire > 1 About you and your household,DEMOG_LANGUAGE_1_1,,What is your main language?
questionnaire,DEMOG_RELATSH_CIVIL_CURR_1_1,integer,,DEMOG_RELATSH_CIVIL_CURR_1_1,,,,,Our Future Health Questionnaire > 1 About you and your household,DEMOG_RELATSH_CIVIL_CURR_1_1,,Who is your registered civil partnership to?
questionnaire,DEMOG_RELATSH_CIVIL_PREV_1_1,integer,,DEMOG_RELATSH_CIVIL_PREV_1_1,,,,,Our Future Health Questionnaire > 1 About you and your household,DEMOG_RELATSH_CIVIL_PREV_1_1,,Who was your registered civil partnership to?
questionnaire,DEMOG_RELATSH_MARR_CURR_1_1,integer,,DEMOG_RELATSH_MARR_CURR_1_1,,,,,Our Future Health Questionnaire > 1 About you and your household,DEMOG_RELATSH_MARR_CURR_1_1,,Who is your legal marriage to?
questionnaire,DEMOG_RELATSH_MARR_PREV_1_1,integer,,DEMOG_RELATSH_MARR_PREV_1_1,,,,,Our Future Health Questionnaire > 1 About you and your household,DEMOG_RELATSH_MARR_PREV_1_1,,Who was your legal marriage to?
questionnaire,DEMOG_RELATSH_STATUS_1_1,integer,,DEMOG_RELATSH_STATUS_1_1,,,,,Our Future Health Questionnaire > 1 About you and your household,DEMOG_RELATSH_STATUS_1_1,,What is your marital status?
questionnaire,DEMOG_RELATSH_STATUS_2_1,integer,,DEMOG_RELATSH_STATUS_2_1,,,,,Our Future Health Questionnaire > 1 About you and your household,DEMOG_RELATSH_STATUS_2_1,,What is your current legal marital or registered civil partnership status?
